,kW,Rida,Gamybos_metai
1272,130,236840,201201
1273,135,307695,201205
1274,125,280000,201004
1275,177,240000,200806
1276,135,322000,2011
1277,180,351866,2010
1278,177,352650,201105
1279,147,252010,201411
1280,170,281865,200906
1281,176,154400,201003
1282,173,420000,200712
1283,125,375000,200905
1284,120,280000,201103
1285,136,176000,200901
1286,225,310000,200710
1287,125,216000,201203
1288,125,350000,200910
1289,125,330000,201105
1290,150,357000,201109
1291,120,274100,201304
1292,135,260000,201007
1293,150,351000,201102
1294,175,335000,201105
1295,171,320050,200808
1296,180,351866,2010
1297,177,352650,201105
1298,147,252010,201411
1299,170,281865,200906
1300,176,154400,201003
1301,173,420000,200712
1302,125,375000,200905
1303,120,280000,201103
1304,136,176000,200901
1305,225,310000,200710
1306,125,216000,201203
1307,125,350000,200910
1308,125,330000,201105
1309,150,357000,201109
1310,180,141450,2013
1311,120,274100,201304
1312,135,260000,201007
1313,150,351000,201102
1314,175,335000,201105
1315,171,320050,200808
1316,151,308000,201103
1317,136,293000,200910
1318,136,180000,200706
1319,125,276000,201001
1320,176,226375,200906
1321,155,213703,2013
1322,199,224000,201012
1323,120,273700,200910
1324,125,257000,201403
1325,110,289026,2012
1326,120,290000,201207
1327,120,243000,201205
1328,125,253589,201202
1329,133,227000,201502
1330,110,209000,201610
1331,150,294000,201111
1332,135,337000,201306
1333,151,308000,201103
1334,136,293000,200910
1335,136,180000,200706
1336,125,276000,201001
1337,176,226375,200906
1338,155,213703,2013
1339,199,224000,201012
1340,120,273700,200910
1341,125,257000,201403
1342,110,1,201403
1343,110,289026,2012
1344,130,1,201311
1345,120,290000,201207
1346,120,243000,201205
1347,125,253589,201202
1348,211,180000,201512
1349,133,227000,201502
1350,110,209000,201610
1351,150,294000,201111
1352,135,337000,201306
1353,130,297000,201412
1354,173,293528,2008
1355,147,248000,201305
1356,110,272500,201306
1357,110,177000,201405
1358,129,175234,201101
1359,120,285503,201205
1360,200,270321,201010
1361,180,375000,200910
1362,120,325270,200905
1363,110,74000,201307
1364,225,241000,201102
1365,177,370000,201111
1366,120,145446,201403
1367,135,423123,201103
1368,110,262900,201212
1369,132,242700,201103
1370,195,239000,201102
1371,125,282000,201006
1372,130,297000,201412
1373,173,293528,2008
1374,147,248000,201305
1375,110,272500,201306
1376,110,177000,201405
1377,129,175234,201101
1378,120,285503,201205
1379,200,270321,201010
1380,135,277000,201508
1381,180,375000,200910
1382,120,325270,200905
1383,110,74000,201307
1384,225,241000,201102
1385,177,370000,201111
1386,120,145446,201403
1387,135,423123,201103
1388,110,262900,201212
1389,132,242700,201103
1390,195,239000,201102
1391,125,282000,201006
1392,150,238000,201104
1393,125,269500,201210
1394,135,259553,201212
1395,285,322000,2007
1396,261,385000,200808
1397,135,266921,201607
1398,131,240000,201301
1399,129,248000,201311
1400,173,287000,200812
1401,118,260037,201011
1402,155,224666,201007
1403,135,310256,2012
1404,110,170000,201311
1405,150,313290,201111
1406,210,390000,200907
1407,110,141000,201407
1408,160,287963,201305
1409,120,285000,2011
1410,135,318213,201104
1411,230,300000,201111
1412,150,238000,201104
1413,125,269500,201210
1414,135,259553,201212
1415,285,322000,2007
1416,261,385000,200808
1417,135,266921,201607
1418,131,240000,201301
1419,129,248000,201311
1420,173,287000,200812
1421,118,260037,201011
1422,155,224666,201007
1423,135,310256,2012
1424,110,170000,201311
1425,150,313290,201111
1426,210,390000,200907
1427,110,141000,201407
1428,160,287963,201305
1429,120,285000,2011
1430,135,318213,201104
1431,230,300000,201111
