,k
1624,9950.0
1625,9950.0
1626,9950.0
1627,9990.0
1628,9990.0
1629,9999.0
1630,9999.0
1631,9999.0
1632,9999.0
1633,9999.0
1634,9999.0
1635,9999.0
1636,10000.0
1637,10000.0
1638,10000.0
1639,10000.0
1640,10100.0
1641,10200.0
1642,10200.0
1643,10200.0
1644,10250.0
1645,10299.0
1646,10300.0
1647,9990.0
1648,9990.0
1649,9999.0
1650,9999.0
1651,9999.0
1652,9999.0
1653,9999.0
1654,9999.0
1655,9999.0
1656,10000.0
1657,10000.0
1658,10000.0
1659,10000.0
1660,10100.0
1661,10200.0
1662,10200.0
1663,10200.0
1664,10250.0
1665,10299.0
1666,10300.0
1667,10300.0
1668,10300.0
1669,10300.0
1670,10350.0
1671,10399.0
1672,10400.0
1673,10400.0
1674,10400.0
1675,10434.0
1676,10450.0
1677,10450.0
1678,10450.0
1679,10450.0
1680,10450.0
1681,10450.0
1682,10450.0
1683,10450.0
1684,10490.0
1685,10499.0
1686,10300.0
1687,10300.0
1688,10300.0
1689,10350.0
1690,10399.0
1691,10400.0
1692,10400.0
1693,10400.0
1694,10400.0
1695,10434.0
1696,10450.0
1697,10450.0
1698,10450.0
1699,10450.0
1700,10450.0
1701,10450.0
1702,10450.0
1703,10450.0
1704,10490.0
1705,10499.0
1706,10500.0
1707,10500.0
1708,10500.0
1709,10500.0
1710,10500.0
1711,10500.0
1712,10500.0
1713,10500.0
1714,10550.0
1715,10650.0
1716,10650.0
1717,10650.0
1718,10699.0
1719,10700.0
1720,10700.0
1721,10700.0
1722,10700.0
1723,10700.0
1724,10750.0
1725,10500.0
1726,10500.0
1727,10500.0
1728,10500.0
1729,10500.0
1730,10500.0
1731,10500.0
1732,10500.0
1733,10500.0
1734,10550.0
1735,10650.0
1736,10650.0
1737,10650.0
1738,10699.0
1739,10700.0
1740,10700.0
1741,10700.0
1742,10700.0
1743,10700.0
1744,10750.0
1745,10770.0
1746,10799.0
1747,10799.0
1748,10800.0
1749,10800.0
1750,10800.0
1751,10800.0
1752,10800.0
1753,10800.0
1754,10810.0
1755,10850.0
1756,10850.0
1757,10850.0
1758,10890.0
1759,10900.0
1760,10900.0
1761,10900.0
1762,10900.0
1763,10770.0
1764,10799.0
1765,10799.0
1766,10800.0
1767,10800.0
1768,10800.0
1769,10800.0
1770,10800.0
1771,10800.0
1772,10800.0
1773,10810.0
1774,10850.0
1775,10850.0
1776,10850.0
1777,10890.0
1778,10900.0
1779,10900.0
1780,10900.0
1781,10900.0
1782,10900.0
1783,10900.0
1784,10900.0
1785,10900.0
1786,10900.0
1787,10900.0
1788,10950.0
1789,10950.0
1790,10950.0
1791,10950.0
1792,10950.0
1793,10950.0
1794,10950.0
1795,10950.0
1796,10950.0
1797,10990.0
1798,10990.0
1799,10990.0
1800,10999.0
1801,10999.0
1802,10999.0
1803,10900.0
1804,10900.0
1805,10900.0
1806,10900.0
1807,10900.0
1808,10950.0
1809,10950.0
1810,10950.0
1811,10950.0
1812,10950.0
1813,10950.0
1814,10950.0
1815,10950.0
1816,10950.0
1817,10990.0
1818,10990.0
1819,10990.0
1820,10999.0
1821,10999.0
1822,10999.0
1823,10999.0
1824,10999.0
1825,10999.0
1826,11000.0
1827,11000.0
1828,11000.0
1829,11000.0
1830,11000.0
1831,11000.0
1832,11000.0
1833,11000.0
1834,11000.0
1835,11100.0
1836,11200.0
1837,11200.0
1838,11200.0
1839,11250.0
1840,11250.0
1841,10999.0
1842,10999.0
1843,10999.0
1844,11000.0
1845,11000.0
1846,11000.0
1847,11000.0
1848,11000.0
1849,11000.0
1850,11000.0
1851,11000.0
1852,11000.0
1853,11000.0
1854,11100.0
1855,11200.0
1856,11200.0
1857,11200.0
1858,11200.0
1859,11250.0
1860,11250.0
1861,11250.0
1862,11250.0
1863,11300.0
1864,11300.0
1865,11300.0
1866,11400.0
1867,11450.0
1868,11500.0
1869,11500.0
